Model,Variant,Year,Odometer_Reading,Fuel_type,Transmission,Price,Car_age,Price_per_year,KM_per_year,Brand
Ford Ecosport,1.5 Petrol Ambiente BSIV,2018,31500,Petrol,Manual,590000.0,8,73750.0,3937.5,Ford
Kia Carens,Luxury Plus iMT 6 STR,2023,48102,Petrol,Manual,1072000.0,3,357333.3333333333,16034.0,Kia
Honda CR-V,Diesel 2WD,2019,124000,Diesel,Automatic,1299000.0,7,185571.42857142858,17714.285714285714,Honda
Kia Sonet,HTK Plus BSVI,2022,40000,Petrol,Manual,699000.0,4,174750.0,10000.0,Kia
Volvo S90,D4 Inscription BSIV,2018,100000,Diesel,Automatic,1800000.0,8,225000.0,12500.0,Volvo
BMW 3 Series GT,Luxury Line,2016,28000,Diesel,Automatic,1580000.0,10,158000.0,2800.0,BMW
Mahindra Marazzo,M4,2019,54000,Diesel,Manual,649000.0,7,92714.28571428571,7714.285714285715,Mahindra
Tata Tiago,1.2 Revotron XZ,2019,67000,Petrol,Manual,365000.0,7,52142.857142857145,9571.42857142857,Tata
Volkswagen Polo,Petrol Trendline 1.2L,2012,65000,Petrol,Manual,165000.0,14,11785.714285714286,4642.857142857143,Volkswagen
Nissan Magnite,Turbo CVT XV BSVI,2022,40000,Petrol,Automatic,625000.0,4,156250.0,10000.0,Nissan
Toyota Innova Crysta,2.8 GX AT BSIV,2017,149000,Diesel,Automatic,1185000.0,9,131666.66666666666,16555.555555555555,Toyota
Mahindra Thar,LX Hard Top,2023,32000,Petrol,Manual,1325000.0,3,441666.6666666667,10666.666666666666,Mahindra
Maruti Suzuki Ritz,VXI,2011,65700,Petrol,Manual,125000.0,15,8333.333333333334,4380.0,Maruti Suzuki
Toyota Innova Crysta,2.4 VX MT BSIV,2018,141000,Diesel,Manual,1390000.0,8,173750.0,17625.0,Toyota
Maruti Suzuki Grand Vitara,Alpha BSVI,2022,24000,Petrol,Manual,1120000.0,4,280000.0,6000.0,Maruti Suzuki
Kia Seltos,HTK G,2020,9800,Petrol,Manual,819999.9999999999,6,136666.66666666666,1633.3333333333333,Kia
Skoda Superb,LK 1.8 TSI AT,2017,96200,Petrol,Automatic,1400000.0,9,155555.55555555556,10688.888888888889,Skoda
MG Hector,Shine CVT,2022,21000,Petrol,Automatic,1100000.0,4,275000.0,5250.0,MG
Maruti Suzuki Swift Dzire,VXI,2015,65000,Petrol,Manual,310000.0,11,28181.81818181818,5909.090909090909,Maruti Suzuki
Skoda Slavia,1.0L Sportline AT,2025,6000,Petrol,Automatic,1350000.0,1,1350000.0,6000.0,Skoda
Hyundai Verna,1.6 SX VTVT,2011,120000,Petrol,Manual,170000.0,15,11333.333333333334,8000.0,Hyundai
Toyota Camry,Hybrid 2.5,2022,36000,Petrol,Automatic,2880000.0,4,720000.0,9000.0,Toyota
Hyundai Grand i10 Nios,Corp Edition,2022,52000,Petrol,Manual,505000.0,4,126250.0,13000.0,Hyundai
Mercedes-Benz C-Class,C 200 CGI,2016,66000,Petrol,Automatic,1700000.0,10,170000.0,6600.0,Mercedes-Benz
Chevrolet Beat,LS,2013,65000,Petrol,Manual,130000.0,13,10000.0,5000.0,Chevrolet
Skoda Octavia,Style,2022,11000,Petrol,Automatic,2190000.0,4,547500.0,2750.0,Skoda
Maruti Suzuki Ciaz,VXi,2016,75000,Petrol,Manual,375000.0,10,37500.0,7500.0,Maruti Suzuki
Audi A4,Technology,2021,65000,Petrol,Automatic,2475000.0,5,495000.0,13000.0,Audi
Maruti Suzuki Invicto,Zeta Plus 7Str,2024,55000,Petrol,Automatic,2199000.0,2,1099500.0,27500.0,Maruti Suzuki
BMW 7 Series,730Ld DPE,2019,65000,Diesel,Automatic,2975000.0,7,425000.0,9285.714285714286,BMW
Toyota Camry,Hybrid 2.5,2022,35000,Petrol,Automatic,2950000.0,4,737500.0,8750.0,Toyota
Mahindra Thar,LX 4WD Hard Top Diesel AT BSVI,2022,41000,Diesel,Automatic,1135000.0,4,283750.0,10250.0,Mahindra
Kia Seltos,GTX Plus Diesel AT,2019,81000,Diesel,Automatic,950000.0,7,135714.2857142857,11571.42857142857,Kia
Toyota Fortuner,4X2 Diesel AT,2024,13500,Diesel,Automatic,3990000.0,2,1995000.0,6750.0,Toyota
Ford Endeavour,Sport Edition,2021,148000,Diesel,Automatic,2450000.0,5,490000.0,29600.0,Ford
Honda Jazz,1.2 V AT i VTEC,2015,69000,Petrol,Automatic,385000.0,11,35000.0,6272.727272727273,Honda
Honda City,V MT,2022,57000,Petrol,Manual,741000.0,4,185250.0,14250.0,Honda
Renault Duster,85PS Diesel RxS,2018,75000,Diesel,Manual,425000.0,8,53125.0,9375.0,Renault
Ford Ecosport,Titanium Diesel,2021,50000,Diesel,Manual,750000.0,5,150000.0,10000.0,Ford
Maruti Suzuki Swift Dzire,VXI 1.2,2018,58000,Petrol,Manual,450000.0,8,56250.0,7250.0,Maruti Suzuki
Hyundai Alcazar,Prestige Executive 7-Seater Diesel AT,2022,87000,Diesel,Automatic,1380000.0,4,345000.0,21750.0,Hyundai
Nissan Terrano,XL D Plus 85 PS,2017,71000,Diesel,Manual,375000.0,9,41666.666666666664,7888.888888888889,Nissan
Hyundai Creta,SX Turbo BSVI,2021,59000,Petrol,Automatic,1190000.0,5,238000.0,11800.0,Hyundai
Hyundai Creta,1.6 Gamma SX Plus,2018,76000,Petrol,Manual,740000.0,8,92500.0,9500.0,Hyundai
Skoda Slavia,1.0 TSI Style AT BSVI,2022,59000,Petrol,Automatic,1155000.0,4,288750.0,14750.0,Skoda
Jeep Compass,1.4 Longitude Plus AT,2019,36000,Petrol,Automatic,1045000.0,7,149285.7142857143,5142.857142857143,Jeep
Toyota Fortuner,4x4 AT,2016,213000,Diesel,Automatic,1865000.0,10,186500.0,21300.0,Toyota
Skoda Octavia,Style,2021,46000,Petrol,Automatic,1775000.0,5,355000.0,9200.0,Skoda
Lexus ES,300h Luxury,2025,14000,Petrol,Automatic,5675000.0,1,5675000.0,14000.0,Lexus
Jeep Compass,2.0 Limited Opt Diesel BSVI,2021,14000,Diesel,Manual,1890000.0,5,378000.0,2800.0,Jeep
Hyundai Creta,1.4 E Plus,2019,75000,Diesel,Manual,650000.0,7,92857.14285714286,10714.285714285714,Hyundai
Maruti Suzuki Ciaz,1.4 AT Alpha,2018,59000,Petrol,Automatic,490000.00000000006,8,61250.00000000001,7375.0,Maruti Suzuki
Maruti Suzuki Celerio,VXI MT BSIV,2018,5600,Petrol,Manual,350000.0,8,43750.0,700.0,Maruti Suzuki
Maruti Suzuki Ciaz,Alpha 1.5,2019,58000,Diesel,Manual,615000.0,7,87857.14285714286,8285.714285714286,Maruti Suzuki
Mercedes-Benz E-Class,Exclusive E 200,2021,17000,Petrol,Automatic,4900000.0,5,980000.0,3400.0,Mercedes-Benz
Tata Nexon,1.2 Revotron XE,2018,55000,Petrol,Manual,365000.0,8,45625.0,6875.0,Tata
Hyundai Grand i10 Nios,AMT Sportz,2019,47000,Petrol,Automatic,475000.0,7,67857.14285714286,6714.285714285715,Hyundai
Mahindra Bolero Neo,N10 BSVI,2021,47000,Diesel,Manual,780000.0,5,156000.0,9400.0,Mahindra
MG Hector,Style Diesel MT,2020,78000,Diesel,Manual,800000.0,6,133333.33333333334,13000.0,MG
Hyundai Xcent,1.2 Kappa AT SX Option,2015,57000,Petrol,Automatic,315000.0,11,28636.363636363636,5181.818181818182,Hyundai
Hyundai Grand i10,AT Asta,2015,57000,Petrol,Automatic,340000.0,11,30909.090909090908,5181.818181818182,Hyundai
Kia Carens,Luxury Plus Diesel AT 6 STR BSVI,2022,30000,Diesel,Automatic,1475000.0,4,368750.0,7500.0,Kia
Audi Q3,35 TDI Quattro Premium,2016,125000,Diesel,Automatic,750000.0,10,75000.0,12500.0,Audi
Toyota Hyryder,G HYBRID,2023,60000,Petrol,Automatic,1600000.0,3,533333.3333333334,20000.0,Toyota
BMW X3,xDrive 30i Luxury Line,2019,70142,Petrol,Automatic,2690000.0,7,384285.71428571426,10020.285714285714,BMW
Hyundai Creta,1.6 VTVT E Plus,2016,54142,Petrol,Manual,510000.0,10,51000.0,5414.2,Hyundai
Honda Jazz,V,2018,31142,Petrol,Manual,410000.0,8,51250.0,3892.75,Honda
Ford Figo,1.2P Ambiente MT,2018,48000,Petrol,Manual,255000.0,8,31875.0,6000.0,Ford
Lexus ES,300h Exquisite,2023,39142,Petrol,Automatic,4490000.0,3,1496666.6666666667,13047.333333333334,Lexus
Mahindra XUV 3XO,MX3 Pro AT,2024,7700,Petrol,Automatic,1050000.0,2,525000.0,3850.0,Mahindra
Toyota Innova Hycross,GX 7STR,2024,21000,Petrol,Automatic,2125000.0,2,1062500.0,10500.0,Toyota
Hyundai Verna,1.6 SX VTVT,2014,65000,Petrol,Manual,290000.0,12,24166.666666666668,5416.666666666667,Hyundai
MG Hector,Sharp DCT,2021,39000,Petrol,Automatic,1135000.0,5,227000.0,7800.0,MG
Maruti Suzuki XL6,Alpha AT,2022,47000,Petrol,Automatic,1040000.0,4,260000.0,11750.0,Maruti Suzuki
Mahindra Thar,LX 4WD Hard Top AT BSVI,2022,26000,Petrol,Automatic,1340000.0,4,335000.0,6500.0,Mahindra
Hyundai EON,Magna,2011,60000,Petrol,Manual,126000.0,15,8400.0,4000.0,Hyundai
Toyota Innova Crysta,2.4 GX 7 STR AT,2022,69000,Diesel,Automatic,1875000.0,4,468750.0,17250.0,Toyota
Honda City,V MT Diesel,2020,81000,Diesel,Manual,615000.0,6,102500.0,13500.0,Honda
Lexus ES,300h Exquisite,2022,12000,Petrol,Automatic,4595000.0,4,1148750.0,3000.0,Lexus
Kia Sonet,HTK BSVI,2021,70000,Petrol,Manual,650000.0,5,130000.0,14000.0,Kia
Maruti Suzuki Wagon R,VXI BS IV,2011,120000,Petrol,Manual,100000.0,15,6666.666666666667,8000.0,Maruti Suzuki
Maruti Suzuki Wagon R,VXI BS IV,2017,65000,Petrol,Manual,250000.0,9,27777.777777777777,7222.222222222223,Maruti Suzuki
Hyundai i20,1.2 Asta,2011,69800,Petrol,Manual,138000.0,15,9200.0,4653.333333333333,Hyundai
Ford Figo,Petrol Titanium,2013,75600,Petrol,Manual,130000.0,13,10000.0,5815.384615384615,Ford
MG Hector,Hybrid Sharp MT,2020,54210,Petrol,Manual,798000.0,6,133000.0,9035.0,MG
Maruti Suzuki Alto 800,LXI,2014,50000,Petrol,Manual,175000.0,12,14583.333333333334,4166.666666666667,Maruti Suzuki
Maruti Suzuki Baleno,Sigma,2020,27000,Petrol,Manual,420000.0,6,70000.0,4500.0,Maruti Suzuki
Toyota Innova Crysta,2.4 VX MT BSIV,2018,144000,Diesel,Manual,1340000.0,8,167500.0,18000.0,Toyota
Toyota Fortuner,2.8 2WD AT BSIV,2017,61000,Diesel,Automatic,2250000.0,9,250000.0,6777.777777777777,Toyota
Honda Jazz,S,2012,65330,Petrol,Manual,149000.0,14,10642.857142857143,4666.428571428572,Honda
Maruti Suzuki Baleno,Alpha AMT BSVI,2022,28569,Petrol,Automatic,750000.0,4,187500.0,7142.25,Maruti Suzuki
Toyota Fortuner,4X4 Diesel AT BSVI,2023,115000,Diesel,Automatic,3700000.0,3,1233333.3333333333,38333.333333333336,Toyota
Toyota Innova Hycross,ZX Hybrid,2024,27000,Petrol,Automatic,3450000.0,2,1725000.0,13500.0,Toyota
Ford Ecosport,1.0 Ecoboost Titanium Optional,2013,60000,Petrol,Manual,276000.0,13,21230.76923076923,4615.384615384615,Ford
Honda Amaze,S i-VTEC,2016,40000,Petrol,Manual,340000.0,10,34000.0,4000.0,Honda
Honda Amaze,S Option i-VTEC,2018,87000,Petrol,Manual,385000.0,8,48125.0,10875.0,Honda
Toyota Glanza,G CVT,2022,33000,Petrol,Automatic,640000.0,4,160000.0,8250.0,Toyota
Renault Duster,110PS Diesel RxZ AMT,2016,150000,Diesel,Automatic,350000.0,10,35000.0,15000.0,Renault
Land Rover Range Rover Sport,2.0 Petrol SE,2019,36000,Petrol,Automatic,5800000.0,7,828571.4285714285,5142.857142857143,Land Rover
Toyota Innova Hycross,ZX(O) Hybrid BSVI,2023,35000,Petrol,Automatic,3175000.0,3,1058333.3333333333,11666.666666666666,Toyota
Honda City,VX CVT,2019,57000,Petrol,Automatic,790000.0,7,112857.14285714286,8142.857142857143,Honda
Ford Ecosport,1.5 Ti VCT MT Titanium,2015,67000,Petrol,Manual,296000.0,11,26909.090909090908,6090.909090909091,Ford
Toyota Fortuner Legender,4x4 AT,2024,45000,Diesel,Automatic,4599000.0,2,2299500.0,22500.0,Toyota
Skoda Rapid,1.6 MPI Active,2013,75000,Petrol,Manual,198000.0,13,15230.76923076923,5769.2307692307695,Skoda
Hyundai Venue,S Opt BSVI,2022,22000,Petrol,Manual,750000.0,4,187500.0,5500.0,Hyundai
BMW X3,xDrive 30i Luxury Line,2019,70000,Petrol,Automatic,2690000.0,7,384285.71428571426,10000.0,BMW
Maruti Suzuki Celerio,VXI AMT BSIV,2018,41000,Petrol,Automatic,339000.0,8,42375.0,5125.0,Maruti Suzuki
Hyundai Creta,1.6 SX Automatic,2018,93000,Petrol,Automatic,725000.0,8,90625.0,11625.0,Hyundai
Maruti Suzuki Celerio,ZXI,2016,54000,Petrol,Manual,325000.0,10,32500.0,5400.0,Maruti Suzuki
Hyundai i20,1.2 Magna Executive,2018,48142,Petrol,Manual,440000.00000000006,8,55000.00000000001,6017.75,Hyundai
MG Astor,100 Year Limited Edition CVT,2024,8000,Petrol,Automatic,1300000.0,2,650000.0,4000.0,MG
Hyundai Creta,1.6 VTVT S,2015,74000,Petrol,Manual,476000.0,11,43272.72727272727,6727.272727272727,Hyundai
Ford Ecosport,1.5 Ti VCT AT Titanium,2015,78000,Petrol,Automatic,390000.0,11,35454.545454545456,7090.909090909091,Ford
Hyundai i20,Sportz 1.2,2017,67000,Petrol,Manual,370000.0,9,41111.11111111111,7444.444444444444,Hyundai
Toyota Vellfire,Executive Lounge BSVI,2020,125000,Petrol,Automatic,5890000.0,6,981666.6666666666,20833.333333333332,Toyota
Honda City,i VTEC SV,2014,65000,Petrol,Manual,296000.0,12,24666.666666666668,5416.666666666667,Honda
BMW 5 Series,530i M Sport BSVI,2022,26000,Petrol,Automatic,4975000.0,4,1243750.0,6500.0,BMW
Honda City,i-VTEC CVT V,2018,53000,Petrol,Automatic,595000.0,8,74375.0,6625.0,Honda
Volkswagen Taigun,1.0 TSI Topline AT BSVI,2022,42000,Petrol,Automatic,1090000.0,4,272500.0,10500.0,Volkswagen
Audi A4,35 TDI Technology,2017,99000,Diesel,Automatic,1599000.0,9,177666.66666666666,11000.0,Audi
MG Hector Plus,Sharp DCT,2021,15000,Petrol,Automatic,1190000.0,5,238000.0,3000.0,MG
Ford Figo,Petrol EXI,2012,66000,Petrol,Manual,130000.0,14,9285.714285714286,4714.285714285715,Ford
Toyota Taisor,V Turbo AT,2024,9900,Petrol,Automatic,939000.0,2,469500.0,4950.0,Toyota
Hyundai Creta,SX BSVI,2020,65000,Petrol,Manual,975000.0,6,162500.0,10833.333333333334,Hyundai
Maruti Suzuki Victoris,ZXI Plus (O) Strong Hybrid,2025,5000,Petrol,Automatic,1890000.0,1,1890000.0,5000.0,Maruti Suzuki
Hyundai Creta,1.6 SX Automatic,2019,52000,Petrol,Automatic,899000.0,7,128428.57142857143,7428.571428571428,Hyundai
Honda Amaze,S i-Vtech,2015,60000,Petrol,Manual,250000.0,11,22727.272727272728,5454.545454545455,Honda
Hyundai Creta,1.6 VTVT AT SX Plus,2019,78000,Petrol,Automatic,740000.0,7,105714.28571428571,11142.857142857143,Hyundai
Lexus ES,300h Luxury,2022,12000,Petrol,Automatic,4580000.0,4,1145000.0,3000.0,Lexus
Hyundai Creta,1.6 VTVT Base,2016,840000,Petrol,Manual,560000.0,10,56000.0,84000.0,Hyundai
Datsun GO,T BSIV,2014,20000,Petrol,Manual,200000.0,12,16666.666666666668,1666.6666666666667,Datsun
Kia Seltos,HTK G,2022,21000,Petrol,Manual,945000.0,4,236250.0,5250.0,Kia
Hyundai Creta,1.6 VTVT SX Plus,2018,57000,Petrol,Manual,725000.0,8,90625.0,7125.0,Hyundai
Land Rover Range Rover Velar,R-Dynamic S Petrol,2023,43000,Petrol,Automatic,5990000.0,3,1996666.6666666667,14333.333333333334,Land Rover
Honda City,i VTEC CVT SV,2014,40000,Petrol,Automatic,350000.0,12,29166.666666666668,3333.3333333333335,Honda
Hyundai Alcazar,Signature (O) 7-Seater AT,2022,40000,Petrol,Automatic,1525000.0,4,381250.0,10000.0,Hyundai
Hyundai Creta,EX BSVI,2021,25000,Petrol,Manual,865000.0,5,173000.0,5000.0,Hyundai
Hyundai Creta,SX (O) Diesel AT,2024,50000,Diesel,Automatic,1525000.0,2,762500.0,25000.0,Hyundai
Maruti Suzuki Wagon R,LXI BS IV,2011,67800,Petrol,Manual,125000.0,15,8333.333333333334,4520.0,Maruti Suzuki
BMW 6 Series,GT,2018,32000,Petrol,Automatic,2790000.0,8,348750.0,4000.0,BMW
Volkswagen Taigun,1.0 TSI Topline AT BSVI,2022,42142,Petrol,Automatic,1060000.0,4,265000.0,10535.5,Volkswagen
MG Astor,Savvy CVT BSVI,2022,50000,Petrol,Automatic,899000.0,4,224750.0,12500.0,MG
Maruti Suzuki Ciaz,Delta Automatic BSIV,2019,73000,Petrol,Automatic,479000.0,7,68428.57142857143,10428.57142857143,Maruti Suzuki
Kia Seltos,GTX Plus Turbo DCT,2024,27000,Petrol,Automatic,1525000.0,2,762500.0,13500.0,Kia
Hyundai Creta,1.6 E Plus,2019,25000,Petrol,Manual,775000.0,7,110714.28571428571,3571.4285714285716,Hyundai
Kia Seltos,HTK Plus iMT,2023,35000,Petrol,Manual,1000000.0,3,333333.3333333333,11666.666666666666,Kia
Toyota Etios Liva,Petrol TRD Sportivo,2014,60000,Petrol,Manual,200000.0,12,16666.666666666668,5000.0,Toyota
Kia Sonet,HTX Turbo iMT BSVI,2020,69000,Petrol,Manual,690000.0,6,115000.0,11500.0,Kia
Kia Seltos,HTK,2024,21000,Petrol,Manual,1290000.0,2,645000.0,10500.0,Kia
Jaguar XF,2.0 Litre Petrol,2015,67025,Petrol,Automatic,1275000.0,11,115909.09090909091,6093.181818181818,Jaguar
Ford Ecosport,1.0 Ecoboost Titanium,2014,66700,Petrol,Manual,276000.0,12,23000.0,5558.333333333333,Ford
Renault Captur,1.5 Diesel RXT,2017,169000,Diesel,Manual,345000.0,9,38333.333333333336,18777.777777777777,Renault
Kia Seltos,HTK Plus iMT,2021,39000,Petrol,Manual,980000.0,5,196000.0,7800.0,Kia
Hyundai Creta,1.6 EX Petrol,2019,66000,Petrol,Manual,675000.0,7,96428.57142857143,9428.57142857143,Hyundai
Honda Jazz,1.2 S i VTEC,2017,62000,Petrol,Manual,345000.0,9,38333.333333333336,6888.888888888889,Honda
MG Hector,Sharp Pro CVT 2023-2025,2023,15000,Petrol,Automatic,1575000.0,3,525000.0,5000.0,MG
Mercedes-Benz C-Class,C 200 AVANTGARDE,2015,65000,Petrol,Automatic,1525000.0,11,138636.36363636365,5909.090909090909,Mercedes-Benz
Kia Seltos,HTK Plus D,2020,62000,Diesel,Manual,849000.0,6,141500.0,10333.333333333334,Kia
Mahindra KUV 100,mFALCON G80 K4 Plus,2016,55000,Petrol,Manual,229000.0,10,22900.0,5500.0,Mahindra
MG Gloster,Black Storm 4x2 6Str,2024,34000,Diesel,Automatic,3175000.0,2,1587500.0,17000.0,MG
Kia Seltos,HTX G,2020,38000,Petrol,Manual,850000.0,6,141666.66666666666,6333.333333333333,Kia
Kia Seltos,HTK (O),2026,6600,Petrol,Manual,1550000.0,0,inf,inf,Kia
Ford Freestyle,Titanium Petrol BSIV,2019,49000,Petrol,Manual,415000.00000000006,7,59285.7142857143,7000.0,Ford
Hyundai Venue,SX Plus Dual Tone Turbo DCT,2020,48000,Petrol,Automatic,785000.0,6,130833.33333333333,8000.0,Hyundai
Jaguar XE,2.0L Diesel Prestige,2018,48000,Diesel,Automatic,1450000.0,8,181250.0,6000.0,Jaguar
Hyundai Creta,1.6 VTVT SX Plus,2017,70000,Petrol,Manual,640000.0,9,71111.11111111111,7777.777777777777,Hyundai
Hyundai Creta,1.6 VTVT AT SX Plus,2017,85000,Petrol,Automatic,590000.0,9,65555.55555555556,9444.444444444445,Hyundai
Kia Seltos,HTK Plus G,2020,28000,Petrol,Manual,850000.0,6,141666.66666666666,4666.666666666667,Kia
Honda Jazz,1.2 V i VTEC,2016,40000,Petrol,Manual,365000.0,10,36500.0,4000.0,Honda
MG Hector Plus,1.5 Turbo Sharp Pro CVT 7 Str BSVI,2023,49000,Petrol,Automatic,1490000.0,3,496666.6666666667,16333.333333333334,MG
Volvo XC40,D4 Inscription BSIV,2019,65000,Diesel,Automatic,1698999.9999999998,7,242714.28571428568,9285.714285714286,Volvo
Honda CR-V,2.0 CVT,2020,59000,Petrol,Automatic,1689999.9999999998,6,281666.6666666666,9833.333333333334,Honda
Honda CR-V,2.0 CVT,2020,55000,Petrol,Automatic,1680000.0,6,280000.0,9166.666666666666,Honda
Kia Seltos,GTX Plus DCT,2020,65897,Petrol,Automatic,1065000.0,6,177500.0,10982.833333333334,Kia
Mercedes-Benz GLA Class,200 CDI,2016,50000,Diesel,Automatic,1225000.0,10,122500.0,5000.0,Mercedes-Benz
Hyundai Creta,1.6 VTVT SX Plus,2016,79142,Petrol,Manual,575000.0,10,57500.0,7914.2,Hyundai
Kia Seltos,HTX,2024,6500,Petrol,Manual,1375000.0,2,687500.0,3250.0,Kia
Kia Seltos,HTX,2026,450,Petrol,Manual,2000000.0,0,inf,inf,Kia
Volvo XC90,D5 R-Design,2017,102000,Diesel,Automatic,1900000.0,9,211111.11111111112,11333.333333333334,Volvo
Hyundai Creta,SX,2024,32000,Petrol,Manual,1075000.0,2,537500.0,16000.0,Hyundai
Honda Amaze 2nd Gen,S,2018,47928,Petrol,Manual,401000.0,8,50125.0,5991.0,Honda
Maruti Suzuki Wagon R,LXI CNG,2018,70000,CNG,Manual,290000.0,8,36250.0,8750.0,Maruti Suzuki
MG Hector,1.5 Turbo Sharp pro CVT BSVI,2023,15040,Petrol,Automatic,1498000.0,3,499333.3333333333,5013.333333333333,MG
MG Hector,1.5 Turbo Savvy Pro CVT BSVI,2023,8000,Petrol,Automatic,1475000.0,3,491666.6666666667,2666.6666666666665,MG
MG Hector,Sharp AT BSIV,2021,17000,Petrol,Automatic,1295000.0,5,259000.0,3400.0,MG
Mercedes-Benz C-Class,C 200,2024,10000,Petrol,Automatic,4500000.0,2,2250000.0,5000.0,Mercedes-Benz
Kia Seltos,HTX IVT G,2021,61000,Petrol,Automatic,998000.0,5,199600.0,12200.0,Kia
Volvo S60,D4 Momentum BSIV,2018,45000,Diesel,Automatic,1789999.9999999998,8,223749.99999999997,5625.0,Volvo
