Model,Variant,Year,Odometer_Reading,Fuel_type,Transmission,Price
BMW 7 Series,730Ld DPE,2019,"65,000 kms",Diesel,Automatic,₹29.75 Lakh
Toyota Camry,Hybrid 2.5,2022,"35,000 kms",Petrol,Automatic,₹29.50 Lakh
Mahindra Thar,LX 4WD Hard Top Diesel AT BSVI,2022,"41,000 kms",Diesel,Automatic,₹11.35 Lakh
Kia Seltos,GTX Plus Diesel AT,2019,"81,000 kms",Diesel,Automatic,₹9.50 Lakh
Toyota Fortuner,4X2 Diesel AT,2024,"13,500 kms",Diesel,Automatic,₹39.90 Lakh
Ford Endeavour,Sport Edition,2021,"1,48,000 kms",Diesel,Automatic,₹24.50 Lakh
Honda Jazz,1.2 V AT i VTEC,2015,"69,000 kms",Petrol,Automatic,₹3.85 Lakh
Honda City,V MT,2022,"57,000 kms",Petrol,Manual,₹7.41 Lakh
Renault Duster,85PS Diesel RxS,2018,"75,000 kms",Diesel,Manual,₹4.25 Lakh
Ford Ecosport,Titanium Diesel,2021,"50,000 kms",Diesel,Manual,₹7.50 Lakh
Maruti Suzuki Swift Dzire,VXI 1.2,2018,"58,000 kms",Petrol,Manual,₹4.50 Lakh
Hyundai Alcazar,Prestige Executive 7-Seater Diesel AT,2022,"87,000 kms",Diesel,Automatic,₹13.80 Lakh
Nissan Terrano,XL D Plus 85 PS,2017,"71,000 kms",Diesel,Manual,₹3.75 Lakh
Hyundai Creta,SX Turbo BSVI,2021,"59,000 kms",Petrol,Automatic,₹11.90 Lakh
Hyundai Creta,1.6 Gamma SX Plus,2018,"76,000 kms",Petrol,Manual,₹7.40 Lakh
Skoda Slavia,1.0 TSI Style AT BSVI,2022,"59,000 kms",Petrol,Automatic,₹11.55 Lakh
Jeep Compass,1.4 Longitude Plus AT,2019,"36,000 kms",Petrol,Automatic,₹10.45 Lakh
Toyota Fortuner,4x4 AT,2016,"2,13,000 kms",Diesel,Automatic,₹18.65 Lakh
Skoda Octavia,Style,2021,"46,000 kms",Petrol,Automatic,₹17.75 Lakh
Lexus ES,300h Luxury,2025,"14,000 kms",Petrol,Automatic,₹56.75 Lakh
Jeep Compass,2.0 Limited Opt Diesel BSVI,2021,"14,000 kms",Diesel,Manual,₹18.90 Lakh
Hyundai Creta,1.4 E Plus,2019,"75,000 kms",Diesel,Manual,₹6.50 Lakh
Maruti Suzuki Ciaz,1.4 AT Alpha,2018,"59,000 kms",Petrol,Automatic,₹4.90 Lakh
Maruti Suzuki Celerio,VXI MT BSIV,2018,"5,600 kms",Petrol,Manual,₹3.50 Lakh
Maruti Suzuki Ciaz,Alpha 1.5,2019,"58,000 kms",Diesel,Manual,₹6.15 Lakh
Skoda Octavia,Style,2021,"46,000 kms",Petrol,Automatic,₹17.75 Lakh
Mercedes-Benz E-Class,Exclusive E 200,2021,"17,000 kms",Petrol,Automatic,₹49 Lakh
Tata Nexon,1.2 Revotron XE,2018,"55,000 kms",Petrol,Manual,₹3.65 Lakh
Hyundai Grand i10 Nios,AMT Sportz,2019,"47,000 kms",Petrol,Automatic,₹4.75 Lakh
Mahindra Bolero Neo,N10 BSVI,2021,"47,000 kms",Diesel,Manual,₹7.80 Lakh
MG Hector,Style Diesel MT,2020,"78,000 kms",Diesel,Manual,₹8 Lakh
Hyundai Xcent,1.2 Kappa AT SX Option,2015,"57,000 kms",Petrol,Automatic,₹3.15 Lakh
Hyundai Grand i10,AT Asta,2015,"57,000 kms",Petrol,Automatic,₹3.40 Lakh
Kia Carens,Luxury Plus Diesel AT 6 STR BSVI,2022,"30,000 kms",Diesel,Automatic,₹14.75 Lakh
Audi Q3,35 TDI Quattro Premium,2016,"1,25,000 kms",Diesel,Automatic,₹7.50 Lakh
Toyota Hyryder,G HYBRID,2023,"60,000 kms",Petrol,Automatic,₹16 Lakh
BMW X3,xDrive 30i Luxury Line,2019,"70,142 kms",Petrol,Automatic,₹26.90 Lakh
Hyundai Creta,1.6 VTVT E Plus,2016,"54,142 kms",Petrol,Manual,₹5.10 Lakh
Honda Jazz,V,2018,"31,142 kms",Petrol,Manual,₹4.10 Lakh
Ford Figo,1.2P Ambiente MT,2018,"48,000 kms",Petrol,Manual,₹2.55 Lakh
Lexus ES,300h Exquisite,2023,"39,142 kms",Petrol,Automatic,₹44.90 Lakh
Mahindra XUV 3XO,MX3 Pro AT,2024,"7,700 kms",Petrol,Automatic,₹10.50 Lakh
Toyota Innova Hycross,GX 7STR,2024,"21,000 kms",Petrol,Automatic,₹21.25 Lakh
Hyundai Verna,1.6 SX VTVT,2014,"65,000 kms",Petrol,Manual,₹2.90 Lakh
MG Hector,Sharp DCT,2021,"39,000 kms",Petrol,Automatic,₹11.35 Lakh
Maruti Suzuki XL6,Alpha AT,2022,"47,000 kms",Petrol,Automatic,₹10.40 Lakh
Mahindra Thar,LX 4WD Hard Top AT BSVI,2022,"26,000 kms",Petrol,Automatic,₹13.40 Lakh
Hyundai EON,Magna,2011,"60,000 kms",Petrol,Manual,₹1.26 Lakh
Toyota Innova Crysta,2.4 GX 7 STR AT,2022,"69,000 kms",Diesel,Automatic,₹18.75 Lakh
Honda City,V MT Diesel,2020,"81,000 kms",Diesel,Manual,₹6.15 Lakh
Lexus ES,300h Exquisite,2022,"12,000 kms",Petrol,Automatic,₹45.95 Lakh
Kia Sonet,HTK BSVI,2021,"70,000 kms",Petrol,Manual,₹6.50 Lakh
Toyota Innova Crysta,2.4 VX MT BSIV,2018,"1,41,000 kms",Diesel,Manual,₹13.90 Lakh
Maruti Suzuki Grand Vitara,Alpha BSVI,2022,"24,000 kms",Petrol,Manual,₹11.20 Lakh
Kia Seltos,HTK G,2020,"9,800 kms",Petrol,Manual,₹8.20 Lakh
Maruti Suzuki Wagon R,VXI BS IV,2011,"1,20,000 kms",Petrol,Manual,₹1 Lakh
MG Hector,Shine CVT,2022,"21,000 kms",Petrol,Automatic,₹11 Lakh
Maruti Suzuki Swift Dzire,VXI,2015,"65,000 kms",Petrol,Manual,₹3.10 Lakh
Skoda Slavia,1.0L Sportline AT,2025,"6,000 kms",Petrol,Automatic,₹13.50 Lakh
Maruti Suzuki Wagon R,VXI BS IV,2017,"65,000 kms",Petrol,Manual,₹2.50 Lakh
Toyota Camry,Hybrid 2.5,2022,"36,000 kms",Petrol,Automatic,₹28.80 Lakh
Hyundai Grand i10 Nios,Corp Edition,2022,"52,000 kms",Petrol,Manual,₹5.05 Lakh
Mercedes-Benz C-Class,C 200 CGI,2016,"66,000 kms",Petrol,Automatic,₹17 Lakh
Hyundai i20,1.2 Asta,2011,"69,800 kms",Petrol,Manual,₹1.38 Lakh
Skoda Octavia,Style,2022,"11,000 kms",Petrol,Automatic,₹21.90 Lakh
Maruti Suzuki Ciaz,VXi,2016,"75,000 kms",Petrol,Manual,₹3.75 Lakh
Audi A4,Technology,2021,"65,000 kms",Petrol,Automatic,₹24.75 Lakh
Ford Figo,Petrol Titanium,2013,"75,600 kms",Petrol,Manual,₹1.30 Lakh
BMW 7 Series,730Ld DPE,2019,"65,000 kms",Diesel,Automatic,₹29.75 Lakh
Toyota Camry,Hybrid 2.5,2022,"35,000 kms",Petrol,Automatic,₹29.50 Lakh
MG Hector,Hybrid Sharp MT,2020,"54,210 kms",Petrol,Manual,₹7.98 Lakh
Maruti Suzuki Alto 800,LXI,2014,"50,000 kms",Petrol,Manual,₹1.75 Lakh
Maruti Suzuki Baleno,Sigma,2020,"27,000 kms",Petrol,Manual,₹4.20 Lakh
Toyota Innova Crysta,2.4 VX MT BSIV,2018,"1,44,000 kms",Diesel,Manual,₹13.40 Lakh
Toyota Fortuner,2.8 2WD AT BSIV,2017,"61,000 kms",Diesel,Automatic,₹22.50 Lakh
Honda Jazz,S,2012,"65,330 kms",Petrol,Manual,₹1.49 Lakh
Maruti Suzuki Baleno,Alpha AMT BSVI,2022,"28,569 kms",Petrol,Automatic,₹7.50 Lakh
Toyota Fortuner,4X4 Diesel AT BSVI,2023,"1,15,000 kms",Diesel,Automatic,₹37 Lakh
Toyota Innova Hycross,ZX Hybrid,2024,"27,000 kms",Petrol,Automatic,₹34.50 Lakh
Ford Ecosport,1.0 Ecoboost Titanium Optional,2013,"60,000 kms",Petrol,Manual,₹2.76 Lakh
Honda Amaze,S i-VTEC,2016,"40,000 kms",Petrol,Manual,₹3.40 Lakh
Honda Amaze,S Option i-VTEC,2018,"87,000 kms",Petrol,Manual,₹3.85 Lakh
Toyota Glanza,G CVT,2022,"33,000 kms",Petrol,Automatic,₹6.40 Lakh
Renault Duster,110PS Diesel RxZ AMT,2016,"1,50,000 kms",Diesel,Automatic,₹3.50 Lakh
Land Rover Range Rover Sport,2.0 Petrol SE,2019,"36,000 kms",Petrol,Automatic,₹58 Lakh
Toyota Innova Hycross,ZX(O) Hybrid BSVI,2023,"35,000 kms",Petrol,Automatic,₹31.75 Lakh
Honda City,VX CVT,2019,"57,000 kms",Petrol,Automatic,₹7.90 Lakh
Ford Ecosport,1.5 Ti VCT MT Titanium,2015,"67,000 kms",Petrol,Manual,₹2.96 Lakh
Mahindra Marazzo,M4,2019,"54,000 kms",Diesel,Manual,₹6.49 Lakh
Tata Tiago,1.2 Revotron XZ,2019,"67,000 kms",Petrol,Manual,₹3.65 Lakh
Toyota Fortuner Legender,4x4 AT,2024,"45,000 kms",Diesel,Automatic,₹45.99 Lakh
Skoda Rapid,1.6 MPI Active,2013,"75,000 kms",Petrol,Manual,₹1.98 Lakh
Hyundai Venue,S Opt BSVI,2022,"22,000 kms",Petrol,Manual,₹7.50 Lakh
BMW X3,xDrive 30i Luxury Line,2019,"70,000 kms",Petrol,Automatic,₹26.90 Lakh
Maruti Suzuki Celerio,VXI AMT BSIV,2018,"41,000 kms",Petrol,Automatic,₹3.39 Lakh
Hyundai Creta,1.6 SX Automatic,2018,"93,000 kms",Petrol,Automatic,₹7.25 Lakh
Maruti Suzuki Celerio,ZXI,2016,"54,000 kms",Petrol,Manual,₹3.25 Lakh
Hyundai i20,1.2 Magna Executive,2018,"48,142 kms",Petrol,Manual,₹4.40 Lakh
MG Astor,100 Year Limited Edition CVT,2024,"8,000 kms",Petrol,Automatic,₹13 Lakh
Hyundai Creta,1.6 VTVT S,2015,"74,000 kms",Petrol,Manual,₹4.76 Lakh
Ford Ecosport,1.5 Ti VCT AT Titanium,2015,"78,000 kms",Petrol,Automatic,₹3.90 Lakh
Hyundai i20,Sportz 1.2,2017,"67,000 kms",Petrol,Manual,₹3.70 Lakh
Toyota Vellfire,Executive Lounge BSVI,2020,"1,25,000 kms",Petrol,Automatic,₹58.90 Lakh
Honda City,i VTEC SV,2014,"65,000 kms",Petrol,Manual,₹2.96 Lakh
BMW 5 Series,530i M Sport BSVI,2022,"26,000 kms",Petrol,Automatic,₹49.75 Lakh
Honda City,i-VTEC CVT V,2018,"53,000 kms",Petrol,Automatic,₹5.95 Lakh
Volkswagen Taigun,1.0 TSI Topline AT BSVI,2022,"42,000 kms",Petrol,Automatic,₹10.90 Lakh
Audi A4,35 TDI Technology,2017,"99,000 kms",Diesel,Automatic,₹15.99 Lakh
MG Hector Plus,Sharp DCT,2021,"15,000 kms",Petrol,Automatic,₹11.90 Lakh
Kia Sonet,HTK Plus BSVI,2022,"40,000 kms",Petrol,Manual,₹6.99 Lakh
BMW 3 Series GT,Luxury Line,2016,"28,000 kms",Diesel,Automatic,₹15.80 Lakh
Ford Figo,Petrol EXI,2012,"66,000 kms",Petrol,Manual,₹1.30 Lakh
BMW 3 Series GT,Luxury Line,2016,"28,000 kms",Diesel,Automatic,₹15.80 Lakh
Honda CR-V,Diesel 2WD,2019,"1,24,000 kms",Diesel,Automatic,₹12.99 Lakh
Kia Carens,Luxury Plus iMT 6 STR,2023,"48,102 kms",Petrol,Manual,₹10.72 Lakh
Toyota Taisor,V Turbo AT,2024,"9,900 kms",Petrol,Automatic,₹9.39 Lakh
Hyundai Creta,SX BSVI,2020,"65,000 kms",Petrol,Manual,₹9.75 Lakh
Maruti Suzuki Victoris,ZXI Plus (O) Strong Hybrid,2025,"5,000 kms",Petrol,Automatic,₹18.90 Lakh
Hyundai Creta,1.6 SX Automatic,2019,"52,000 kms",Petrol,Automatic,₹8.99 Lakh
Honda Amaze,S i-Vtech,2015,"60,000 kms",Petrol,Manual,₹2.50 Lakh
Hyundai Creta,1.6 VTVT AT SX Plus,2019,"78,000 kms",Petrol,Automatic,₹7.40 Lakh
Lexus ES,300h Luxury,2022,"12,000 kms",Petrol,Automatic,₹45.80 Lakh
Hyundai Creta,1.6 VTVT Base,2016,"8,40,000 kms",Petrol,Manual,₹5.60 Lakh
Datsun GO,T BSIV,2014,"20,000 kms",Petrol,Manual,₹2 Lakh
Kia Seltos,HTK G,2022,"21,000 kms",Petrol,Manual,₹9.45 Lakh
Hyundai Creta,1.6 VTVT SX Plus,2018,"57,000 kms",Petrol,Manual,₹7.25 Lakh
Land Rover Range Rover Velar,R-Dynamic S Petrol,2023,"43,000 kms",Petrol,Automatic,₹59.90 Lakh
Honda City,i VTEC CVT SV,2014,"40,000 kms",Petrol,Automatic,₹3.50 Lakh
Hyundai Alcazar,Signature (O) 7-Seater AT,2022,"40,000 kms",Petrol,Automatic,₹15.25 Lakh
Hyundai Creta,EX BSVI,2021,"25,000 kms",Petrol,Manual,₹8.65 Lakh
Hyundai Creta,SX (O) Diesel AT,2024,"50,000 kms",Diesel,Automatic,₹15.25 Lakh
Maruti Suzuki Wagon R,LXI BS IV,2011,"67,800 kms",Petrol,Manual,₹1.25 Lakh
BMW 6 Series,GT,2018,"32,000 kms",Petrol,Automatic,₹27.90 Lakh
Volkswagen Taigun,1.0 TSI Topline AT BSVI,2022,"42,142 kms",Petrol,Automatic,₹10.60 Lakh
MG Astor,Savvy CVT BSVI,2022,"50,000 kms",Petrol,Automatic,₹8.99 Lakh
Maruti Suzuki Ciaz,Delta Automatic BSIV,2019,"73,000 kms",Petrol,Automatic,₹4.79 Lakh
Kia Seltos,GTX Plus Turbo DCT,2024,"27,000 kms",Petrol,Automatic,₹15.25 Lakh
Hyundai Creta,1.6 E Plus,2019,"25,000 kms",Petrol,Manual,₹7.75 Lakh
Kia Seltos,HTK Plus iMT,2023,"35,000 kms",Petrol,Manual,₹10 Lakh
Toyota Etios Liva,Petrol TRD Sportivo,2014,"60,000 kms",Petrol,Manual,₹2 Lakh
Kia Sonet,HTX Turbo iMT BSVI,2020,"69,000 kms",Petrol,Manual,₹6.90 Lakh
Kia Seltos,HTK,2024,"21,000 kms",Petrol,Manual,₹12.90 Lakh
Jaguar XF,2.0 Litre Petrol,2015,"67,025 kms",Petrol,Automatic,₹12.75 Lakh
Ford Ecosport,1.0 Ecoboost Titanium,2014,"66,700 kms",Petrol,Manual,₹2.76 Lakh
Renault Captur,1.5 Diesel RXT,2017,"1,69,000 kms",Diesel,Manual,₹3.45 Lakh
Kia Seltos,HTK Plus iMT,2021,"39,000 kms",Petrol,Manual,₹9.80 Lakh
Hyundai Creta,1.6 EX Petrol,2019,"66,000 kms",Petrol,Manual,₹6.75 Lakh
Honda Jazz,1.2 S i VTEC,2017,"62,000 kms",Petrol,Manual,₹3.45 Lakh
MG Hector,Sharp Pro CVT 2023-2025,2023,"15,000 kms",Petrol,Automatic,₹15.75 Lakh
Mercedes-Benz C-Class,C 200 AVANTGARDE,2015,"65,000 kms",Petrol,Automatic,₹15.25 Lakh
Kia Seltos,HTK Plus D,2020,"62,000 kms",Diesel,Manual,₹8.49 Lakh
Mahindra KUV 100,mFALCON G80 K4 Plus,2016,"55,000 kms",Petrol,Manual,₹2.29 Lakh
MG Gloster,Black Storm 4x2 6Str,2024,"34,000 kms",Diesel,Automatic,₹31.75 Lakh
Kia Seltos,HTX G,2020,"38,000 kms",Petrol,Manual,₹8.50 Lakh
Kia Seltos,HTK (O),2026,"6,600 kms",Petrol,Manual,₹15.50 Lakh
Ford Freestyle,Titanium Petrol BSIV,2019,"49,000 kms",Petrol,Manual,₹4.15 Lakh
Hyundai Venue,SX Plus Dual Tone Turbo DCT,2020,"48,000 kms",Petrol,Automatic,₹7.85 Lakh
Jaguar XE,2.0L Diesel Prestige,2018,"48,000 kms",Diesel,Automatic,₹14.50 Lakh
Hyundai Creta,1.6 VTVT SX Plus,2017,"70,000 kms",Petrol,Manual,₹6.40 Lakh
Hyundai Creta,1.6 VTVT AT SX Plus,2017,"85,000 kms",Petrol,Automatic,₹5.90 Lakh
Kia Seltos,HTK Plus G,2020,"28,000 kms",Petrol,Manual,₹8.50 Lakh
Honda Jazz,1.2 V i VTEC,2016,"40,000 kms",Petrol,Manual,₹3.65 Lakh
MG Hector Plus,1.5 Turbo Sharp Pro CVT 7 Str BSVI,2023,"49,000 kms",Petrol,Automatic,₹14.90 Lakh
Volvo XC40,D4 Inscription BSIV,2019,"65,000 kms",Diesel,Automatic,₹16.99 Lakh
Honda CR-V,2.0 CVT,2020,"59,000 kms",Petrol,Automatic,₹16.90 Lakh
Honda CR-V,2.0 CVT,2020,"55,000 kms",Petrol,Automatic,₹16.80 Lakh
Kia Seltos,GTX Plus DCT,2020,"65,897 kms",Petrol,Automatic,₹10.65 Lakh
Mercedes-Benz GLA Class,200 CDI,2016,"50,000 kms",Diesel,Automatic,₹12.25 Lakh
Hyundai Creta,1.6 VTVT SX Plus,2016,"79,142 kms",Petrol,Manual,₹5.75 Lakh
Kia Seltos,HTX,2024,"6,500 kms",Petrol,Manual,₹13.75 Lakh
Kia Seltos,HTX,2026,450 kms,Petrol,Manual,₹20 Lakh
Volvo XC90,D5 R-Design,2017,"1,02,000 kms",Diesel,Automatic,₹19 Lakh
Kia Seltos,HTX,2026,450 kms,Petrol,Manual,₹20 Lakh
Hyundai Creta,SX,2024,"32,000 kms",Petrol,Manual,₹10.75 Lakh
Honda Amaze 2nd Gen,S,2018,"47,928 kms",Petrol,Manual,₹4.01 Lakh
Maruti Suzuki Wagon R,LXI CNG,2018,"70,000 kms",CNG,Manual,₹2.90 Lakh
MG Hector,1.5 Turbo Sharp pro CVT BSVI,2023,"15,040 kms",Petrol,Automatic,₹14.98 Lakh
MG Hector,1.5 Turbo Savvy Pro CVT BSVI,2023,"8,000 kms",Petrol,Automatic,₹14.75 Lakh
MG Hector,Sharp AT BSIV,2021,"17,000 kms",Petrol,Automatic,₹12.95 Lakh
Mercedes-Benz C-Class,C 200,2024,"10,000 kms",Petrol,Automatic,₹45 Lakh
Kia Seltos,HTX IVT G,2021,"61,000 kms",Petrol,Automatic,₹9.98 Lakh
Volvo S60,D4 Momentum BSIV,2018,"45,000 kms",Diesel,Automatic,₹17.90 Lakh
Hyundai Creta,SX BSVI,2022,"36,000 kms",Petrol,Manual,₹11 Lakh
Honda Jazz,S,2012,"1,00,000 kms",Petrol,Manual,₹1.50 Lakh
MG Gloster,Desert Storm 4x2 6Str,2024,"34,000 kms",Diesel,Automatic,₹31.25 Lakh
Kia Sonet,HTX Turbo iMT BSVI,2021,"48,752 kms",Petrol,Manual,₹6.90 Lakh
Hyundai Creta,1.6 SX Option,2018,"1,09,975 kms",Petrol,Manual,₹6.40 Lakh
Maruti Suzuki Swift,LXI Option,2015,"40,000 kms",Petrol,Manual,₹3.25 Lakh
Mercedes-Benz E-Class,E 200 CGI,2016,"38,000 kms",Petrol,Automatic,₹16.75 Lakh
Kia Seltos,HTK Plus D,2021,"1,07,115 kms",Diesel,Manual,₹7.55 Lakh
Hyundai Grand i10,Magna,2017,"50,000 kms",Petrol,Manual,₹3.19 Lakh
Maruti Suzuki Swift,VXI,2015,"50,000 kms",Petrol,Manual,₹2.70 Lakh
Mercedes-Benz E-Class,E 200 CGI,2016,"38,000 kms",Petrol,Automatic,₹16.75 Lakh
Kia Seltos,HTK Plus D,2021,"1,07,115 kms",Diesel,Manual,₹7.55 Lakh
Hyundai Grand i10,Magna,2017,"50,000 kms",Petrol,Manual,₹3.19 Lakh
Mahindra XUV300,W6 Sunroof BSVI,2022,"83,000 kms",Petrol,Manual,₹6.95 Lakh
Lexus ES,300h Luxury 2020-2022,2020,"65,000 kms",Petrol,Automatic,₹32.45 Lakh
Hyundai Creta,1.6 SX Automatic,2019,"73,000 kms",Petrol,Automatic,₹8.50 Lakh
Kia Seltos,GTX Plus S Turbo DCT,2019,"74,991 kms",Petrol,Automatic,₹9.77 Lakh
Mercedes-Benz E-Class,Exclusive E 200 BSIV,2017,"34,000 kms",Petrol,Automatic,₹24.90 Lakh
MG Hector,Select Pro CVT 2023-2025,2024,"11,000 kms",Petrol,Automatic,₹15.50 Lakh
Ford Ecosport,Thunder Edition Petrol BSIV,2019,"75,000 kms",Petrol,Manual,₹4.75 Lakh
Hyundai Creta,EX(O) iVT,2025,"11,000 kms",Petrol,Automatic,₹14.35 Lakh
