Model,Variant,Year,Odometer_Reading,Fuel_type,Transmission,Price,Car_age,Price_per_year,KM_per_year
Tata Tiago,1.2 Revotron XZ,2019,67000,Petrol,Manual,365000.0,7,52142.86,9571.43
Volkswagen Polo,Petrol Trendline 1.2L,2012,65000,Petrol,Manual,165000.0,14,11785.71,4642.86
Nissan Magnite,Turbo CVT XV BSVI,2022,40000,Petrol,Automatic,625000.0,4,156250.0,10000.0
Toyota Innova Crysta,2.8 GX AT BSIV,2017,149000,Diesel,Automatic,1185000.0,9,131666.67,16555.56
Mahindra Thar,LX Hard Top,2023,32000,Petrol,Manual,1325000.0,3,441666.67,10666.67
Maruti Suzuki Ritz,VXI,2011,65700,Petrol,Manual,125000.0,15,8333.33,4380.0
Toyota Innova Crysta,2.4 VX MT BSIV,2018,141000,Diesel,Manual,1390000.0,8,173750.0,17625.0
Maruti Suzuki Grand Vitara,Alpha BSVI,2022,24000,Petrol,Manual,1120000.0,4,280000.0,6000.0
Kia Seltos,HTK G,2020,9800,Petrol,Manual,819999.9999999999,6,136666.67,1633.33
Skoda Superb,LK 1.8 TSI AT,2017,96200,Petrol,Automatic,1400000.0,9,155555.56,10688.89
MG Hector,Shine CVT,2022,21000,Petrol,Automatic,1100000.0,4,275000.0,5250.0
Maruti Suzuki Swift Dzire,VXI,2015,65000,Petrol,Manual,310000.0,11,28181.82,5909.09
Skoda Slavia,1.0L Sportline AT,2025,6000,Petrol,Automatic,1350000.0,1,1350000.0,6000.0
Hyundai Verna,1.6 SX VTVT,2011,120000,Petrol,Manual,170000.0,15,11333.33,8000.0
Toyota Camry,Hybrid 2.5,2022,36000,Petrol,Automatic,2880000.0,4,720000.0,9000.0
Hyundai Grand i10 Nios,Corp Edition,2022,52000,Petrol,Manual,505000.0,4,126250.0,13000.0
Mercedes-Benz C-Class,C 200 CGI,2016,66000,Petrol,Automatic,1700000.0,10,170000.0,6600.0
Chevrolet Beat,LS,2013,65000,Petrol,Manual,130000.0,13,10000.0,5000.0
Skoda Octavia,Style,2022,11000,Petrol,Automatic,2190000.0,4,547500.0,2750.0
Maruti Suzuki Ciaz,VXi,2016,75000,Petrol,Manual,375000.0,10,37500.0,7500.0
Audi A4,Technology,2021,65000,Petrol,Automatic,2475000.0,5,495000.0,13000.0
Maruti Suzuki Invicto,Zeta Plus 7Str,2024,55000,Petrol,Automatic,2199000.0,2,1099500.0,27500.0
BMW 7 Series,730Ld DPE,2019,65000,Diesel,Automatic,2975000.0,7,425000.0,9285.71
Toyota Camry,Hybrid 2.5,2022,35000,Petrol,Automatic,2950000.0,4,737500.0,8750.0
Mahindra Thar,LX 4WD Hard Top Diesel AT BSVI,2022,41000,Diesel,Automatic,1135000.0,4,283750.0,10250.0
Kia Seltos,GTX Plus Diesel AT,2019,81000,Diesel,Automatic,950000.0,7,135714.29,11571.43
Toyota Fortuner,4X2 Diesel AT,2024,13500,Diesel,Automatic,3990000.0,2,1995000.0,6750.0
Ford Endeavour,Sport Edition,2021,148000,Diesel,Automatic,2450000.0,5,490000.0,29600.0
Honda Jazz,1.2 V AT i VTEC,2015,69000,Petrol,Automatic,385000.0,11,35000.0,6272.73
Honda City,V MT,2022,57000,Petrol,Manual,741000.0,4,185250.0,14250.0
Renault Duster,85PS Diesel RxS,2018,75000,Diesel,Manual,425000.0,8,53125.0,9375.0
Ford Ecosport,Titanium Diesel,2021,50000,Diesel,Manual,750000.0,5,150000.0,10000.0
Maruti Suzuki Swift Dzire,VXI 1.2,2018,58000,Petrol,Manual,450000.0,8,56250.0,7250.0
Hyundai Alcazar,Prestige Executive 7-Seater Diesel AT,2022,87000,Diesel,Automatic,1380000.0,4,345000.0,21750.0
Nissan Terrano,XL D Plus 85 PS,2017,71000,Diesel,Manual,375000.0,9,41666.67,7888.89
Hyundai Creta,SX Turbo BSVI,2021,59000,Petrol,Automatic,1190000.0,5,238000.0,11800.0
Hyundai Creta,1.6 Gamma SX Plus,2018,76000,Petrol,Manual,740000.0,8,92500.0,9500.0
Skoda Slavia,1.0 TSI Style AT BSVI,2022,59000,Petrol,Automatic,1155000.0,4,288750.0,14750.0
Jeep Compass,1.4 Longitude Plus AT,2019,36000,Petrol,Automatic,1044999.9999999999,7,149285.71,5142.86
Toyota Fortuner,4x4 AT,2016,213000,Diesel,Automatic,1864999.9999999998,10,186500.0,21300.0
Skoda Octavia,Style,2021,46000,Petrol,Automatic,1775000.0,5,355000.0,9200.0
Lexus ES,300h Luxury,2025,14000,Petrol,Automatic,5675000.0,1,5675000.0,14000.0
Jeep Compass,2.0 Limited Opt Diesel BSVI,2021,14000,Diesel,Manual,1889999.9999999998,5,378000.0,2800.0
Hyundai Creta,1.4 E Plus,2019,75000,Diesel,Manual,650000.0,7,92857.14,10714.29
Maruti Suzuki Ciaz,1.4 AT Alpha,2018,59000,Petrol,Automatic,490000.00000000006,8,61250.0,7375.0
Maruti Suzuki Celerio,VXI MT BSIV,2018,5600,Petrol,Manual,350000.0,8,43750.0,700.0
Maruti Suzuki Ciaz,Alpha 1.5,2019,58000,Diesel,Manual,615000.0,7,87857.14,8285.71
Mercedes-Benz E-Class,Exclusive E 200,2021,17000,Petrol,Automatic,4900000.0,5,980000.0,3400.0
Tata Nexon,1.2 Revotron XE,2018,55000,Petrol,Manual,365000.0,8,45625.0,6875.0
Hyundai Grand i10 Nios,AMT Sportz,2019,47000,Petrol,Automatic,475000.0,7,67857.14,6714.29
Mahindra Bolero Neo,N10 BSVI,2021,47000,Diesel,Manual,780000.0,5,156000.0,9400.0
MG Hector,Style Diesel MT,2020,78000,Diesel,Manual,800000.0,6,133333.33,13000.0
Hyundai Xcent,1.2 Kappa AT SX Option,2015,57000,Petrol,Automatic,315000.0,11,28636.36,5181.82
Hyundai Grand i10,AT Asta,2015,57000,Petrol,Automatic,340000.0,11,30909.09,5181.82
Kia Carens,Luxury Plus Diesel AT 6 STR BSVI,2022,30000,Diesel,Automatic,1475000.0,4,368750.0,7500.0
Audi Q3,35 TDI Quattro Premium,2016,125000,Diesel,Automatic,750000.0,10,75000.0,12500.0
Toyota Hyryder,G HYBRID,2023,60000,Petrol,Automatic,1600000.0,3,533333.33,20000.0
BMW X3,xDrive 30i Luxury Line,2019,70142,Petrol,Automatic,2690000.0,7,384285.71,10020.29
Hyundai Creta,1.6 VTVT E Plus,2016,54142,Petrol,Manual,509999.99999999994,10,51000.0,5414.2
Honda Jazz,V,2018,31142,Petrol,Manual,409999.99999999994,8,51250.0,3892.75
Ford Figo,1.2P Ambiente MT,2018,48000,Petrol,Manual,254999.99999999997,8,31875.0,6000.0
Lexus ES,300h Exquisite,2023,39142,Petrol,Automatic,4490000.0,3,1496666.67,13047.33
Mahindra XUV 3XO,MX3 Pro AT,2024,7700,Petrol,Automatic,1050000.0,2,525000.0,3850.0
Toyota Innova Hycross,GX 7STR,2024,21000,Petrol,Automatic,2125000.0,2,1062500.0,10500.0
Hyundai Verna,1.6 SX VTVT,2014,65000,Petrol,Manual,290000.0,12,24166.67,5416.67
MG Hector,Sharp DCT,2021,39000,Petrol,Automatic,1135000.0,5,227000.0,7800.0
Maruti Suzuki XL6,Alpha AT,2022,47000,Petrol,Automatic,1040000.0,4,260000.0,11750.0
Mahindra Thar,LX 4WD Hard Top AT BSVI,2022,26000,Petrol,Automatic,1340000.0,4,335000.0,6500.0
Hyundai EON,Magna,2011,60000,Petrol,Manual,126000.0,15,8400.0,4000.0
Toyota Innova Crysta,2.4 GX 7 STR AT,2022,69000,Diesel,Automatic,1875000.0,4,468750.0,17250.0
Honda City,V MT Diesel,2020,81000,Diesel,Manual,615000.0,6,102500.0,13500.0
Lexus ES,300h Exquisite,2022,12000,Petrol,Automatic,4595000.0,4,1148750.0,3000.0
Kia Sonet,HTK BSVI,2021,70000,Petrol,Manual,650000.0,5,130000.0,14000.0
Maruti Suzuki Wagon R,VXI BS IV,2011,120000,Petrol,Manual,100000.0,15,6666.67,8000.0
Maruti Suzuki Wagon R,VXI BS IV,2017,65000,Petrol,Manual,250000.0,9,27777.78,7222.22
Hyundai i20,1.2 Asta,2011,69800,Petrol,Manual,138000.0,15,9200.0,4653.33
Ford Figo,Petrol Titanium,2013,75600,Petrol,Manual,130000.0,13,10000.0,5815.38
MG Hector,Hybrid Sharp MT,2020,54210,Petrol,Manual,798000.0,6,133000.0,9035.0
Maruti Suzuki Alto 800,LXI,2014,50000,Petrol,Manual,175000.0,12,14583.33,4166.67
Maruti Suzuki Baleno,Sigma,2020,27000,Petrol,Manual,420000.0,6,70000.0,4500.0
Toyota Innova Crysta,2.4 VX MT BSIV,2018,144000,Diesel,Manual,1340000.0,8,167500.0,18000.0
Toyota Fortuner,2.8 2WD AT BSIV,2017,61000,Diesel,Automatic,2250000.0,9,250000.0,6777.78
Honda Jazz,S,2012,65330,Petrol,Manual,149000.0,14,10642.86,4666.43
Maruti Suzuki Baleno,Alpha AMT BSVI,2022,28569,Petrol,Automatic,750000.0,4,187500.0,7142.25
Toyota Fortuner,4X4 Diesel AT BSVI,2023,115000,Diesel,Automatic,3700000.0,3,1233333.33,38333.33
Toyota Innova Hycross,ZX Hybrid,2024,27000,Petrol,Automatic,3450000.0,2,1725000.0,13500.0
Ford Ecosport,1.0 Ecoboost Titanium Optional,2013,60000,Petrol,Manual,276000.0,13,21230.77,4615.38
Honda Amaze,S i-VTEC,2016,40000,Petrol,Manual,340000.0,10,34000.0,4000.0
Honda Amaze,S Option i-VTEC,2018,87000,Petrol,Manual,385000.0,8,48125.0,10875.0
Toyota Glanza,G CVT,2022,33000,Petrol,Automatic,640000.0,4,160000.0,8250.0
Renault Duster,110PS Diesel RxZ AMT,2016,150000,Diesel,Automatic,350000.0,10,35000.0,15000.0
Land Rover Range Rover Sport,2.0 Petrol SE,2019,36000,Petrol,Automatic,5800000.0,7,828571.43,5142.86
Toyota Innova Hycross,ZX(O) Hybrid BSVI,2023,35000,Petrol,Automatic,3175000.0,3,1058333.33,11666.67
Honda City,VX CVT,2019,57000,Petrol,Automatic,790000.0,7,112857.14,8142.86
Ford Ecosport,1.5 Ti VCT MT Titanium,2015,67000,Petrol,Manual,296000.0,11,26909.09,6090.91
Toyota Fortuner Legender,4x4 AT,2024,45000,Diesel,Automatic,4599000.0,2,2299500.0,22500.0
Skoda Rapid,1.6 MPI Active,2013,75000,Petrol,Manual,198000.0,13,15230.77,5769.23
Hyundai Venue,S Opt BSVI,2022,22000,Petrol,Manual,750000.0,4,187500.0,5500.0
BMW X3,xDrive 30i Luxury Line,2019,70000,Petrol,Automatic,2690000.0,7,384285.71,10000.0
Maruti Suzuki Celerio,VXI AMT BSIV,2018,41000,Petrol,Automatic,339000.0,8,42375.0,5125.0
Hyundai Creta,1.6 SX Automatic,2018,93000,Petrol,Automatic,725000.0,8,90625.0,11625.0
Maruti Suzuki Celerio,ZXI,2016,54000,Petrol,Manual,325000.0,10,32500.0,5400.0
Hyundai i20,1.2 Magna Executive,2018,48142,Petrol,Manual,440000.00000000006,8,55000.0,6017.75
MG Astor,100 Year Limited Edition CVT,2024,8000,Petrol,Automatic,1300000.0,2,650000.0,4000.0
Hyundai Creta,1.6 VTVT S,2015,74000,Petrol,Manual,476000.0,11,43272.73,6727.27
Ford Ecosport,1.5 Ti VCT AT Titanium,2015,78000,Petrol,Automatic,390000.0,11,35454.55,7090.91
Hyundai i20,Sportz 1.2,2017,67000,Petrol,Manual,370000.0,9,41111.11,7444.44
Toyota Vellfire,Executive Lounge BSVI,2020,125000,Petrol,Automatic,5890000.0,6,981666.67,20833.33
Honda City,i VTEC SV,2014,65000,Petrol,Manual,296000.0,12,24666.67,5416.67
BMW 5 Series,530i M Sport BSVI,2022,26000,Petrol,Automatic,4975000.0,4,1243750.0,6500.0
Honda City,i-VTEC CVT V,2018,53000,Petrol,Automatic,595000.0,8,74375.0,6625.0
Volkswagen Taigun,1.0 TSI Topline AT BSVI,2022,42000,Petrol,Automatic,1090000.0,4,272500.0,10500.0
Audi A4,35 TDI Technology,2017,99000,Diesel,Automatic,1599000.0,9,177666.67,11000.0
MG Hector Plus,Sharp DCT,2021,15000,Petrol,Automatic,1190000.0,5,238000.0,3000.0
Ford Figo,Petrol EXI,2012,66000,Petrol,Manual,130000.0,14,9285.71,4714.29
Toyota Taisor,V Turbo AT,2024,9900,Petrol,Automatic,939000.0,2,469500.0,4950.0
Hyundai Creta,SX BSVI,2020,65000,Petrol,Manual,975000.0,6,162500.0,10833.33
Maruti Suzuki Victoris,ZXI Plus (O) Strong Hybrid,2025,5000,Petrol,Automatic,1889999.9999999998,1,1890000.0,5000.0
Hyundai Creta,1.6 SX Automatic,2019,52000,Petrol,Automatic,899000.0,7,128428.57,7428.57
Honda Amaze,S i-Vtech,2015,60000,Petrol,Manual,250000.0,11,22727.27,5454.55
Hyundai Creta,1.6 VTVT AT SX Plus,2019,78000,Petrol,Automatic,740000.0,7,105714.29,11142.86
Lexus ES,300h Luxury,2022,12000,Petrol,Automatic,4580000.0,4,1145000.0,3000.0
Hyundai Creta,1.6 VTVT Base,2016,840000,Petrol,Manual,560000.0,10,56000.0,84000.0
Datsun GO,T BSIV,2014,20000,Petrol,Manual,200000.0,12,16666.67,1666.67
Kia Seltos,HTK G,2022,21000,Petrol,Manual,944999.9999999999,4,236250.0,5250.0
Hyundai Creta,1.6 VTVT SX Plus,2018,57000,Petrol,Manual,725000.0,8,90625.0,7125.0
Land Rover Range Rover Velar,R-Dynamic S Petrol,2023,43000,Petrol,Automatic,5990000.0,3,1996666.67,14333.33
Honda City,i VTEC CVT SV,2014,40000,Petrol,Automatic,350000.0,12,29166.67,3333.33
Hyundai Alcazar,Signature (O) 7-Seater AT,2022,40000,Petrol,Automatic,1525000.0,4,381250.0,10000.0
Hyundai Creta,EX BSVI,2021,25000,Petrol,Manual,865000.0,5,173000.0,5000.0
Hyundai Creta,SX (O) Diesel AT,2024,50000,Diesel,Automatic,1525000.0,2,762500.0,25000.0
Maruti Suzuki Wagon R,LXI BS IV,2011,67800,Petrol,Manual,125000.0,15,8333.33,4520.0
BMW 6 Series,GT,2018,32000,Petrol,Automatic,2790000.0,8,348750.0,4000.0
Volkswagen Taigun,1.0 TSI Topline AT BSVI,2022,42142,Petrol,Automatic,1060000.0,4,265000.0,10535.5
MG Astor,Savvy CVT BSVI,2022,50000,Petrol,Automatic,899000.0,4,224750.0,12500.0
Maruti Suzuki Ciaz,Delta Automatic BSIV,2019,73000,Petrol,Automatic,479000.0,7,68428.57,10428.57
Kia Seltos,GTX Plus Turbo DCT,2024,27000,Petrol,Automatic,1525000.0,2,762500.0,13500.0
Hyundai Creta,1.6 E Plus,2019,25000,Petrol,Manual,775000.0,7,110714.29,3571.43
Kia Seltos,HTK Plus iMT,2023,35000,Petrol,Manual,1000000.0,3,333333.33,11666.67
Toyota Etios Liva,Petrol TRD Sportivo,2014,60000,Petrol,Manual,200000.0,12,16666.67,5000.0
Kia Sonet,HTX Turbo iMT BSVI,2020,69000,Petrol,Manual,690000.0,6,115000.0,11500.0
Kia Seltos,HTK,2024,21000,Petrol,Manual,1290000.0,2,645000.0,10500.0
Jaguar XF,2.0 Litre Petrol,2015,67025,Petrol,Automatic,1275000.0,11,115909.09,6093.18
Ford Ecosport,1.0 Ecoboost Titanium,2014,66700,Petrol,Manual,276000.0,12,23000.0,5558.33
Renault Captur,1.5 Diesel RXT,2017,169000,Diesel,Manual,345000.0,9,38333.33,18777.78
Kia Seltos,HTK Plus iMT,2021,39000,Petrol,Manual,980000.0000000001,5,196000.0,7800.0
Hyundai Creta,1.6 EX Petrol,2019,66000,Petrol,Manual,675000.0,7,96428.57,9428.57
Honda Jazz,1.2 S i VTEC,2017,62000,Petrol,Manual,345000.0,9,38333.33,6888.89
MG Hector,Sharp Pro CVT 2023-2025,2023,15000,Petrol,Automatic,1575000.0,3,525000.0,5000.0
Mercedes-Benz C-Class,C 200 AVANTGARDE,2015,65000,Petrol,Automatic,1525000.0,11,138636.36,5909.09
Kia Seltos,HTK Plus D,2020,62000,Diesel,Manual,849000.0,6,141500.0,10333.33
Mahindra KUV 100,mFALCON G80 K4 Plus,2016,55000,Petrol,Manual,229000.0,10,22900.0,5500.0
MG Gloster,Black Storm 4x2 6Str,2024,34000,Diesel,Automatic,3175000.0,2,1587500.0,17000.0
Kia Seltos,HTX G,2020,38000,Petrol,Manual,850000.0,6,141666.67,6333.33
Kia Seltos,HTK (O),2026,6600,Petrol,Manual,1550000.0,0,inf,inf
Ford Freestyle,Titanium Petrol BSIV,2019,49000,Petrol,Manual,415000.00000000006,7,59285.71,7000.0
Hyundai Venue,SX Plus Dual Tone Turbo DCT,2020,48000,Petrol,Automatic,785000.0,6,130833.33,8000.0
Jaguar XE,2.0L Diesel Prestige,2018,48000,Diesel,Automatic,1450000.0,8,181250.0,6000.0
Hyundai Creta,1.6 VTVT SX Plus,2017,70000,Petrol,Manual,640000.0,9,71111.11,7777.78
Hyundai Creta,1.6 VTVT AT SX Plus,2017,85000,Petrol,Automatic,590000.0,9,65555.56,9444.44
Kia Seltos,HTK Plus G,2020,28000,Petrol,Manual,850000.0,6,141666.67,4666.67
Honda Jazz,1.2 V i VTEC,2016,40000,Petrol,Manual,365000.0,10,36500.0,4000.0
MG Hector Plus,1.5 Turbo Sharp Pro CVT 7 Str BSVI,2023,49000,Petrol,Automatic,1490000.0,3,496666.67,16333.33
Volvo XC40,D4 Inscription BSIV,2019,65000,Diesel,Automatic,1698999.9999999998,7,242714.29,9285.71
Honda CR-V,2.0 CVT,2020,59000,Petrol,Automatic,1689999.9999999998,6,281666.67,9833.33
Honda CR-V,2.0 CVT,2020,55000,Petrol,Automatic,1680000.0,6,280000.0,9166.67
Kia Seltos,GTX Plus DCT,2020,65897,Petrol,Automatic,1065000.0,6,177500.0,10982.83
Mercedes-Benz GLA Class,200 CDI,2016,50000,Diesel,Automatic,1225000.0,10,122500.0,5000.0
Hyundai Creta,1.6 VTVT SX Plus,2016,79142,Petrol,Manual,575000.0,10,57500.0,7914.2
Kia Seltos,HTX,2024,6500,Petrol,Manual,1375000.0,2,687500.0,3250.0
Kia Seltos,HTX,2026,450,Petrol,Manual,2000000.0,0,inf,inf
Volvo XC90,D5 R-Design,2017,102000,Diesel,Automatic,1900000.0,9,211111.11,11333.33
Hyundai Creta,SX,2024,32000,Petrol,Manual,1075000.0,2,537500.0,16000.0
Honda Amaze 2nd Gen,S,2018,47928,Petrol,Manual,401000.0,8,50125.0,5991.0
Maruti Suzuki Wagon R,LXI CNG,2018,70000,CNG,Manual,290000.0,8,36250.0,8750.0
MG Hector,1.5 Turbo Sharp pro CVT BSVI,2023,15040,Petrol,Automatic,1498000.0,3,499333.33,5013.33
MG Hector,1.5 Turbo Savvy Pro CVT BSVI,2023,8000,Petrol,Automatic,1475000.0,3,491666.67,2666.67
MG Hector,Sharp AT BSIV,2021,17000,Petrol,Automatic,1295000.0,5,259000.0,3400.0
Mercedes-Benz C-Class,C 200,2024,10000,Petrol,Automatic,4500000.0,2,2250000.0,5000.0
Kia Seltos,HTX IVT G,2021,61000,Petrol,Automatic,998000.0,5,199600.0,12200.0
Volvo S60,D4 Momentum BSIV,2018,45000,Diesel,Automatic,1789999.9999999998,8,223750.0,5625.0
Hyundai Creta,SX BSVI,2022,36000,Petrol,Manual,1100000.0,4,275000.0,9000.0
Honda Jazz,S,2012,100000,Petrol,Manual,150000.0,14,10714.29,7142.86
MG Gloster,Desert Storm 4x2 6Str,2024,34000,Diesel,Automatic,3125000.0,2,1562500.0,17000.0
Kia Sonet,HTX Turbo iMT BSVI,2021,48752,Petrol,Manual,690000.0,5,138000.0,9750.4
Hyundai Creta,1.6 SX Option,2018,109975,Petrol,Manual,640000.0,8,80000.0,13746.88
Maruti Suzuki Swift,LXI Option,2015,40000,Petrol,Manual,325000.0,11,29545.45,3636.36
Mercedes-Benz E-Class,E 200 CGI,2016,38000,Petrol,Automatic,1675000.0,10,167500.0,3800.0
Kia Seltos,HTK Plus D,2021,107115,Diesel,Manual,755000.0,5,151000.0,21423.0
Hyundai Grand i10,Magna,2017,50000,Petrol,Manual,319000.0,9,35444.44,5555.56
Maruti Suzuki Swift,VXI,2015,50000,Petrol,Manual,270000.0,11,24545.45,4545.45
Mahindra XUV300,W6 Sunroof BSVI,2022,83000,Petrol,Manual,695000.0,4,173750.0,20750.0
Lexus ES,300h Luxury 2020-2022,2020,65000,Petrol,Automatic,3245000.0000000005,6,540833.33,10833.33
Hyundai Creta,1.6 SX Automatic,2019,73000,Petrol,Automatic,850000.0,7,121428.57,10428.57
Kia Seltos,GTX Plus S Turbo DCT,2019,74991,Petrol,Automatic,977000.0,7,139571.43,10713.0
Mercedes-Benz E-Class,Exclusive E 200 BSIV,2017,34000,Petrol,Automatic,2490000.0,9,276666.67,3777.78
MG Hector,Select Pro CVT 2023-2025,2024,11000,Petrol,Automatic,1550000.0,2,775000.0,5500.0
Ford Ecosport,Thunder Edition Petrol BSIV,2019,75000,Petrol,Manual,475000.0,7,67857.14,10714.29
Hyundai Creta,EX(O) iVT,2025,11000,Petrol,Automatic,1435000.0,1,1435000.0,11000.0
Maruti Suzuki Swift,1.2 VXi BSII,2010,40000,Petrol,Manual,180000.0,16,11250.0,2500.0
Honda WR-V,i-VTEC VX,2019,68000,Petrol,Manual,570000.0,7,81428.57,9714.29
Hyundai Grand i10,1.2 Kappa Magna BSIV,2018,62269,Petrol,Manual,347000.0,8,43375.0,7783.62
MG Hector Plus,Sharp Diesel MT,2022,44951,Diesel,Manual,1132000.0,4,283000.0,11237.75
Maruti Suzuki Grand Vitara,Delta CNG 2 Airbag,2024,20000,CNG,Manual,1250000.0,2,625000.0,10000.0
Mercedes-Benz V-Class,Exclusive,2019,45000,Diesel,Automatic,4600000.0,7,657142.86,6428.57
Audi Q7,Technology,2023,29000,Petrol,Automatic,6650000.0,3,2216666.67,9666.67
MG Hector Plus,1.5 Turbo Sharp Pro CVT 7 Str BSVI,2020,79445,Petrol,Automatic,1013000.0000000001,6,168833.33,13240.83
Mercedes-Benz E-Class,Expression E 220 d BSIV,2019,58000,Diesel,Automatic,2650000.0,7,378571.43,8285.71
Kia Seltos,HTX Plus Diesel,2022,40000,Diesel,Manual,1199000.0,4,299750.0,10000.0
Honda City,i VTEC CVT VX,2015,120000,Petrol,Automatic,450000.0,11,40909.09,10909.09
MG Hector Plus,Select Diesel MT 7 STR,2021,97000,Diesel,Manual,875000.0,5,175000.0,19400.0
Mercedes-Benz C-Class,C 220 CDI Avantgarde,2018,48000,Diesel,Automatic,1950000.0,8,243750.0,6000.0
Kia Carens,Luxury Plus iMT BSVI,2022,72000,Petrol,Automatic,1211000.0,4,302750.0,18000.0
