Model,Variant,Year,Odometer_Reading,Fuel_type,Transmission,Price,Car_age,Brand,Price_per_year,KM_per_year,Car_type
Renault Duster,85PS Diesel RxS,2018,75000,Diesel,Manual,425000.0,8,Renault,53125.0,9375.0,Non-Luxury
Ford Ecosport,Titanium Diesel,2021,50000,Diesel,Manual,750000.0,5,Ford,150000.0,10000.0,Non-Luxury
Maruti Suzuki Swift Dzire,VXI 1.2,2018,58000,Petrol,Manual,450000.0,8,Maruti Suzuki,56250.0,7250.0,Non-Luxury
Hyundai Alcazar,Prestige Executive 7-Seater Diesel AT,2022,87000,Diesel,Automatic,1380000.0,4,Hyundai,345000.0,21750.0,Non-Luxury
Nissan Terrano,XL D Plus 85 PS,2017,71000,Diesel,Manual,375000.0,9,Nissan,41666.67,7888.89,Non-Luxury
Hyundai Creta,SX Turbo BSVI,2021,59000,Petrol,Automatic,1190000.0,5,Hyundai,238000.0,11800.0,Non-Luxury
Hyundai Creta,1.6 Gamma SX Plus,2018,76000,Petrol,Manual,740000.0,8,Hyundai,92500.0,9500.0,Non-Luxury
Skoda Slavia,1.0 TSI Style AT BSVI,2022,59000,Petrol,Automatic,1155000.0,4,Skoda,288750.0,14750.0,Non-Luxury
Jeep Compass,1.4 Longitude Plus AT,2019,36000,Petrol,Automatic,1045000.0,7,Jeep,149285.71,5142.86,Non-Luxury
Toyota Fortuner,4x4 AT,2016,213000,Diesel,Automatic,1865000.0,10,Toyota,186500.0,21300.0,Non-Luxury
Skoda Octavia,Style,2021,46000,Petrol,Automatic,1775000.0,5,Skoda,355000.0,9200.0,Non-Luxury
Lexus ES,300h Luxury,2025,14000,Petrol,Automatic,5675000.0,1,Lexus,5675000.0,14000.0,Luxury
Jeep Compass,2.0 Limited Opt Diesel BSVI,2021,14000,Diesel,Manual,1890000.0,5,Jeep,378000.0,2800.0,Non-Luxury
Hyundai Creta,1.4 E Plus,2019,75000,Diesel,Manual,650000.0,7,Hyundai,92857.14,10714.29,Non-Luxury
Maruti Suzuki Ciaz,1.4 AT Alpha,2018,59000,Petrol,Automatic,490000.00000000006,8,Maruti Suzuki,61250.0,7375.0,Non-Luxury
Maruti Suzuki Celerio,VXI MT BSIV,2018,5600,Petrol,Manual,350000.0,8,Maruti Suzuki,43750.0,700.0,Non-Luxury
Maruti Suzuki Ciaz,Alpha 1.5,2019,58000,Diesel,Manual,615000.0,7,Maruti Suzuki,87857.14,8285.71,Non-Luxury
Mercedes-Benz E-Class,Exclusive E 200,2021,17000,Petrol,Automatic,4900000.0,5,Mercedes-Benz,980000.0,3400.0,Non-Luxury
Tata Nexon,1.2 Revotron XE,2018,55000,Petrol,Manual,365000.0,8,Tata,45625.0,6875.0,Non-Luxury
Hyundai Grand i10 Nios,AMT Sportz,2019,47000,Petrol,Automatic,475000.0,7,Hyundai,67857.14,6714.29,Non-Luxury
Mahindra Bolero Neo,N10 BSVI,2021,47000,Diesel,Manual,780000.0,5,Mahindra,156000.0,9400.0,Non-Luxury
MG Hector,Style Diesel MT,2020,78000,Diesel,Manual,800000.0,6,MG,133333.33,13000.0,Non-Luxury
Hyundai Xcent,1.2 Kappa AT SX Option,2015,57000,Petrol,Automatic,315000.0,11,Hyundai,28636.36,5181.82,Non-Luxury
Hyundai Grand i10,AT Asta,2015,57000,Petrol,Automatic,340000.0,11,Hyundai,30909.09,5181.82,Non-Luxury
Kia Carens,Luxury Plus Diesel AT 6 STR BSVI,2022,30000,Diesel,Automatic,1475000.0,4,Kia,368750.0,7500.0,Non-Luxury
Audi Q3,35 TDI Quattro Premium,2016,125000,Diesel,Automatic,750000.0,10,Audi,75000.0,12500.0,Non-Luxury
Toyota Hyryder,G HYBRID,2023,60000,Petrol,Automatic,1600000.0,3,Toyota,533333.33,20000.0,Non-Luxury
BMW X3,xDrive 30i Luxury Line,2019,70142,Petrol,Automatic,2690000.0,7,BMW,384285.71,10020.29,Non-Luxury
Hyundai Creta,1.6 VTVT E Plus,2016,54142,Petrol,Manual,510000.0,10,Hyundai,51000.0,5414.2,Non-Luxury
Honda Jazz,V,2018,31142,Petrol,Manual,410000.0,8,Honda,51250.0,3892.75,Non-Luxury
Ford Figo,1.2P Ambiente MT,2018,48000,Petrol,Manual,255000.0,8,Ford,31875.0,6000.0,Non-Luxury
Lexus ES,300h Exquisite,2023,39142,Petrol,Automatic,4490000.0,3,Lexus,1496666.67,13047.33,Non-Luxury
Mahindra XUV 3XO,MX3 Pro AT,2024,7700,Petrol,Automatic,1050000.0,2,Mahindra,525000.0,3850.0,Non-Luxury
Toyota Innova Hycross,GX 7STR,2024,21000,Petrol,Automatic,2125000.0,2,Toyota,1062500.0,10500.0,Non-Luxury
Hyundai Verna,1.6 SX VTVT,2014,65000,Petrol,Manual,290000.0,12,Hyundai,24166.67,5416.67,Non-Luxury
MG Hector,Sharp DCT,2021,39000,Petrol,Automatic,1135000.0,5,MG,227000.0,7800.0,Non-Luxury
Maruti Suzuki XL6,Alpha AT,2022,47000,Petrol,Automatic,1040000.0,4,Maruti Suzuki,260000.0,11750.0,Non-Luxury
Mahindra Thar,LX 4WD Hard Top AT BSVI,2022,26000,Petrol,Automatic,1340000.0,4,Mahindra,335000.0,6500.0,Non-Luxury
Hyundai EON,Magna,2011,60000,Petrol,Manual,126000.0,15,Hyundai,8400.0,4000.0,Non-Luxury
Toyota Innova Crysta,2.4 GX 7 STR AT,2022,69000,Diesel,Automatic,1875000.0,4,Toyota,468750.0,17250.0,Non-Luxury
Honda City,V MT Diesel,2020,81000,Diesel,Manual,615000.0,6,Honda,102500.0,13500.0,Non-Luxury
Lexus ES,300h Exquisite,2022,12000,Petrol,Automatic,4595000.0,4,Lexus,1148750.0,3000.0,Non-Luxury
Kia Sonet,HTK BSVI,2021,70000,Petrol,Manual,650000.0,5,Kia,130000.0,14000.0,Non-Luxury
Maruti Suzuki Wagon R,VXI BS IV,2011,120000,Petrol,Manual,100000.0,15,Maruti Suzuki,6666.67,8000.0,Non-Luxury
Maruti Suzuki Wagon R,VXI BS IV,2017,65000,Petrol,Manual,250000.0,9,Maruti Suzuki,27777.78,7222.22,Non-Luxury
Hyundai i20,1.2 Asta,2011,69800,Petrol,Manual,138000.0,15,Hyundai,9200.0,4653.33,Non-Luxury
Ford Figo,Petrol Titanium,2013,75600,Petrol,Manual,130000.0,13,Ford,10000.0,5815.38,Non-Luxury
MG Hector,Hybrid Sharp MT,2020,54210,Petrol,Manual,798000.0,6,MG,133000.0,9035.0,Non-Luxury
Maruti Suzuki Alto 800,LXI,2014,50000,Petrol,Manual,175000.0,12,Maruti Suzuki,14583.33,4166.67,Non-Luxury
Maruti Suzuki Baleno,Sigma,2020,27000,Petrol,Manual,420000.0,6,Maruti Suzuki,70000.0,4500.0,Non-Luxury
Toyota Innova Crysta,2.4 VX MT BSIV,2018,144000,Diesel,Manual,1340000.0,8,Toyota,167500.0,18000.0,Non-Luxury
Toyota Fortuner,2.8 2WD AT BSIV,2017,61000,Diesel,Automatic,2250000.0,9,Toyota,250000.0,6777.78,Non-Luxury
Honda Jazz,S,2012,65330,Petrol,Manual,149000.0,14,Honda,10642.86,4666.43,Non-Luxury
Maruti Suzuki Baleno,Alpha AMT BSVI,2022,28569,Petrol,Automatic,750000.0,4,Maruti Suzuki,187500.0,7142.25,Non-Luxury
Toyota Fortuner,4X4 Diesel AT BSVI,2023,115000,Diesel,Automatic,3700000.0,3,Toyota,1233333.33,38333.33,Non-Luxury
Toyota Innova Hycross,ZX Hybrid,2024,27000,Petrol,Automatic,3450000.0,2,Toyota,1725000.0,13500.0,Non-Luxury
Ford Ecosport,1.0 Ecoboost Titanium Optional,2013,60000,Petrol,Manual,276000.0,13,Ford,21230.77,4615.38,Non-Luxury
Honda Amaze,S i-VTEC,2016,40000,Petrol,Manual,340000.0,10,Honda,34000.0,4000.0,Non-Luxury
Honda Amaze,S Option i-VTEC,2018,87000,Petrol,Manual,385000.0,8,Honda,48125.0,10875.0,Non-Luxury
Toyota Glanza,G CVT,2022,33000,Petrol,Automatic,640000.0,4,Toyota,160000.0,8250.0,Non-Luxury
Renault Duster,110PS Diesel RxZ AMT,2016,150000,Diesel,Automatic,350000.0,10,Renault,35000.0,15000.0,Non-Luxury
Land Rover Range Rover Sport,2.0 Petrol SE,2019,36000,Petrol,Automatic,5800000.0,7,Land Rover,828571.43,5142.86,Luxury
Toyota Innova Hycross,ZX(O) Hybrid BSVI,2023,35000,Petrol,Automatic,3175000.0,3,Toyota,1058333.33,11666.67,Non-Luxury
Honda City,VX CVT,2019,57000,Petrol,Automatic,790000.0,7,Honda,112857.14,8142.86,Non-Luxury
Ford Ecosport,1.5 Ti VCT MT Titanium,2015,67000,Petrol,Manual,296000.0,11,Ford,26909.09,6090.91,Non-Luxury
Toyota Fortuner Legender,4x4 AT,2024,45000,Diesel,Automatic,4599000.0,2,Toyota,2299500.0,22500.0,Non-Luxury
Skoda Rapid,1.6 MPI Active,2013,75000,Petrol,Manual,198000.0,13,Skoda,15230.77,5769.23,Non-Luxury
Hyundai Venue,S Opt BSVI,2022,22000,Petrol,Manual,750000.0,4,Hyundai,187500.0,5500.0,Non-Luxury
BMW X3,xDrive 30i Luxury Line,2019,70000,Petrol,Automatic,2690000.0,7,BMW,384285.71,10000.0,Non-Luxury
Maruti Suzuki Celerio,VXI AMT BSIV,2018,41000,Petrol,Automatic,339000.0,8,Maruti Suzuki,42375.0,5125.0,Non-Luxury
Hyundai Creta,1.6 SX Automatic,2018,93000,Petrol,Automatic,725000.0,8,Hyundai,90625.0,11625.0,Non-Luxury
Maruti Suzuki Celerio,ZXI,2016,54000,Petrol,Manual,325000.0,10,Maruti Suzuki,32500.0,5400.0,Non-Luxury
Hyundai i20,1.2 Magna Executive,2018,48142,Petrol,Manual,440000.00000000006,8,Hyundai,55000.0,6017.75,Non-Luxury
MG Astor,100 Year Limited Edition CVT,2024,8000,Petrol,Automatic,1300000.0,2,MG,650000.0,4000.0,Non-Luxury
Hyundai Creta,1.6 VTVT S,2015,74000,Petrol,Manual,476000.0,11,Hyundai,43272.73,6727.27,Non-Luxury
Ford Ecosport,1.5 Ti VCT AT Titanium,2015,78000,Petrol,Automatic,390000.0,11,Ford,35454.55,7090.91,Non-Luxury
Hyundai i20,Sportz 1.2,2017,67000,Petrol,Manual,370000.0,9,Hyundai,41111.11,7444.44,Non-Luxury
Toyota Vellfire,Executive Lounge BSVI,2020,125000,Petrol,Automatic,5890000.0,6,Toyota,981666.67,20833.33,Luxury
Honda City,i VTEC SV,2014,65000,Petrol,Manual,296000.0,12,Honda,24666.67,5416.67,Non-Luxury
BMW 5 Series,530i M Sport BSVI,2022,26000,Petrol,Automatic,4975000.0,4,BMW,1243750.0,6500.0,Non-Luxury
Honda City,i-VTEC CVT V,2018,53000,Petrol,Automatic,595000.0,8,Honda,74375.0,6625.0,Non-Luxury
Volkswagen Taigun,1.0 TSI Topline AT BSVI,2022,42000,Petrol,Automatic,1090000.0,4,Volkswagen,272500.0,10500.0,Non-Luxury
Audi A4,35 TDI Technology,2017,99000,Diesel,Automatic,1599000.0,9,Audi,177666.67,11000.0,Non-Luxury
MG Hector Plus,Sharp DCT,2021,15000,Petrol,Automatic,1190000.0,5,MG,238000.0,3000.0,Non-Luxury
Ford Figo,Petrol EXI,2012,66000,Petrol,Manual,130000.0,14,Ford,9285.71,4714.29,Non-Luxury
Toyota Taisor,V Turbo AT,2024,9900,Petrol,Automatic,939000.0,2,Toyota,469500.0,4950.0,Non-Luxury
Hyundai Creta,SX BSVI,2020,65000,Petrol,Manual,975000.0,6,Hyundai,162500.0,10833.33,Non-Luxury
Maruti Suzuki Victoris,ZXI Plus (O) Strong Hybrid,2025,5000,Petrol,Automatic,1890000.0,1,Maruti Suzuki,1890000.0,5000.0,Non-Luxury
Hyundai Creta,1.6 SX Automatic,2019,52000,Petrol,Automatic,899000.0,7,Hyundai,128428.57,7428.57,Non-Luxury
Honda Amaze,S i-Vtech,2015,60000,Petrol,Manual,250000.0,11,Honda,22727.27,5454.55,Non-Luxury
Hyundai Creta,1.6 VTVT AT SX Plus,2019,78000,Petrol,Automatic,740000.0,7,Hyundai,105714.29,11142.86,Non-Luxury
Lexus ES,300h Luxury,2022,12000,Petrol,Automatic,4580000.0,4,Lexus,1145000.0,3000.0,Non-Luxury
Hyundai Creta,1.6 VTVT Base,2016,840000,Petrol,Manual,560000.0,10,Hyundai,56000.0,84000.0,Non-Luxury
Datsun GO,T BSIV,2014,20000,Petrol,Manual,200000.0,12,Datsun,16666.67,1666.67,Non-Luxury
Kia Seltos,HTK G,2022,21000,Petrol,Manual,945000.0,4,Kia,236250.0,5250.0,Non-Luxury
Hyundai Creta,1.6 VTVT SX Plus,2018,57000,Petrol,Manual,725000.0,8,Hyundai,90625.0,7125.0,Non-Luxury
Land Rover Range Rover Velar,R-Dynamic S Petrol,2023,43000,Petrol,Automatic,5990000.0,3,Land Rover,1996666.67,14333.33,Luxury
Honda City,i VTEC CVT SV,2014,40000,Petrol,Automatic,350000.0,12,Honda,29166.67,3333.33,Non-Luxury
Hyundai Alcazar,Signature (O) 7-Seater AT,2022,40000,Petrol,Automatic,1525000.0,4,Hyundai,381250.0,10000.0,Non-Luxury
Hyundai Creta,EX BSVI,2021,25000,Petrol,Manual,865000.0,5,Hyundai,173000.0,5000.0,Non-Luxury
Hyundai Creta,SX (O) Diesel AT,2024,50000,Diesel,Automatic,1525000.0,2,Hyundai,762500.0,25000.0,Non-Luxury
Maruti Suzuki Wagon R,LXI BS IV,2011,67800,Petrol,Manual,125000.0,15,Maruti Suzuki,8333.33,4520.0,Non-Luxury
BMW 6 Series,GT,2018,32000,Petrol,Automatic,2790000.0,8,BMW,348750.0,4000.0,Non-Luxury
Volkswagen Taigun,1.0 TSI Topline AT BSVI,2022,42142,Petrol,Automatic,1060000.0,4,Volkswagen,265000.0,10535.5,Non-Luxury
MG Astor,Savvy CVT BSVI,2022,50000,Petrol,Automatic,899000.0,4,MG,224750.0,12500.0,Non-Luxury
Maruti Suzuki Ciaz,Delta Automatic BSIV,2019,73000,Petrol,Automatic,479000.0,7,Maruti Suzuki,68428.57,10428.57,Non-Luxury
Kia Seltos,GTX Plus Turbo DCT,2024,27000,Petrol,Automatic,1525000.0,2,Kia,762500.0,13500.0,Non-Luxury
Hyundai Creta,1.6 E Plus,2019,25000,Petrol,Manual,775000.0,7,Hyundai,110714.29,3571.43,Non-Luxury
Kia Seltos,HTK Plus iMT,2023,35000,Petrol,Manual,1000000.0,3,Kia,333333.33,11666.67,Non-Luxury
Toyota Etios Liva,Petrol TRD Sportivo,2014,60000,Petrol,Manual,200000.0,12,Toyota,16666.67,5000.0,Non-Luxury
Kia Sonet,HTX Turbo iMT BSVI,2020,69000,Petrol,Manual,690000.0,6,Kia,115000.0,11500.0,Non-Luxury
Kia Seltos,HTK,2024,21000,Petrol,Manual,1290000.0,2,Kia,645000.0,10500.0,Non-Luxury
Jaguar XF,2.0 Litre Petrol,2015,67025,Petrol,Automatic,1275000.0,11,Jaguar,115909.09,6093.18,Non-Luxury
Ford Ecosport,1.0 Ecoboost Titanium,2014,66700,Petrol,Manual,276000.0,12,Ford,23000.0,5558.33,Non-Luxury
Renault Captur,1.5 Diesel RXT,2017,169000,Diesel,Manual,345000.0,9,Renault,38333.33,18777.78,Non-Luxury
Kia Seltos,HTK Plus iMT,2021,39000,Petrol,Manual,980000.0,5,Kia,196000.0,7800.0,Non-Luxury
Hyundai Creta,1.6 EX Petrol,2019,66000,Petrol,Manual,675000.0,7,Hyundai,96428.57,9428.57,Non-Luxury
Honda Jazz,1.2 S i VTEC,2017,62000,Petrol,Manual,345000.0,9,Honda,38333.33,6888.89,Non-Luxury
MG Hector,Sharp Pro CVT 2023-2025,2023,15000,Petrol,Automatic,1575000.0,3,MG,525000.0,5000.0,Non-Luxury
Mercedes-Benz C-Class,C 200 AVANTGARDE,2015,65000,Petrol,Automatic,1525000.0,11,Mercedes-Benz,138636.36,5909.09,Non-Luxury
Kia Seltos,HTK Plus D,2020,62000,Diesel,Manual,849000.0,6,Kia,141500.0,10333.33,Non-Luxury
Mahindra KUV 100,mFALCON G80 K4 Plus,2016,55000,Petrol,Manual,229000.0,10,Mahindra,22900.0,5500.0,Non-Luxury
MG Gloster,Black Storm 4x2 6Str,2024,34000,Diesel,Automatic,3175000.0,2,MG,1587500.0,17000.0,Non-Luxury
Kia Seltos,HTX G,2020,38000,Petrol,Manual,850000.0,6,Kia,141666.67,6333.33,Non-Luxury
Kia Seltos,HTK (O),2026,6600,Petrol,Manual,1550000.0,0,Kia,,,Non-Luxury
Ford Freestyle,Titanium Petrol BSIV,2019,49000,Petrol,Manual,415000.00000000006,7,Ford,59285.71,7000.0,Non-Luxury
Hyundai Venue,SX Plus Dual Tone Turbo DCT,2020,48000,Petrol,Automatic,785000.0,6,Hyundai,130833.33,8000.0,Non-Luxury
Jaguar XE,2.0L Diesel Prestige,2018,48000,Diesel,Automatic,1450000.0,8,Jaguar,181250.0,6000.0,Non-Luxury
Hyundai Creta,1.6 VTVT SX Plus,2017,70000,Petrol,Manual,640000.0,9,Hyundai,71111.11,7777.78,Non-Luxury
Hyundai Creta,1.6 VTVT AT SX Plus,2017,85000,Petrol,Automatic,590000.0,9,Hyundai,65555.56,9444.44,Non-Luxury
Kia Seltos,HTK Plus G,2020,28000,Petrol,Manual,850000.0,6,Kia,141666.67,4666.67,Non-Luxury
Honda Jazz,1.2 V i VTEC,2016,40000,Petrol,Manual,365000.0,10,Honda,36500.0,4000.0,Non-Luxury
